actor_id,actor_name
1,Jay Gillespie
2,Erica Duke
3,Seth Cassell
4,Harmony Blossom
5,and Charlene Tilton
6,Sandra Betzina
7,Crabb Family
8,Mariah Carey
9,Richard Bohringer
10,Michael Gambon
11,Helen Mirre
12,Ryan Gosling
13,Noam Chomsky
14,Talib Kweli
15,Howard Zinn
16,Warren Beatty
17,Goldie Hawn
18,GERT FROBE
19,Moe Bowstern
20,Kim Fern
21,Calvin Johnson
22,Donna Cossy
23,Christopher Walken
24,Alessando Nivola
25,Nectar Rose
26,John Berry
27,Babak Tafti
28,SHARON STONE
29,Peter Coyote
30,Ken Maynard
31,Ester Ralston
32,Bert Lindley
33,TV Classics Collection
34,Millencolin
35,MASTER BONG SOO HAN
36,ED PARKER
37,BRANSCOME R ICHMOND
38,Hal Leonard
39,Nike Doukas
40,Neil Young
41,Jan Nemec
42,Anna Dukasz
43,Eric Larson (II)
44,Presley
45,Elvis
46,#NAME?
47,David Chaing
48,Norman Chu
49,Jack Kao
50,Damian Lau
51,Hsing-Kuo Wu
52,Gorden Kaye
53,Richard Gardner
54,Carmen Silvera
55,Vicki Michelle
56,Kim Haarman
57,John B. Hobbs
58,David Croft
59,Martin Dennis
60,Robin Carr
61,Paul Hogan
62,Linda Kozlowski
63,John Meillon
64,David Gulpilil
65,Ritchie Singer
66,Stacey Keach
67,Faye Dunaway
68,Harris Yulin
69,Michael Whitney
70,Denver John Collins
71,Claudia Jennings
72,Sam Gilman
73,Douglas Dirkson
74,Clyde Ventura
75,Bill Thurman
76,Randolp Scott
77,Alan Curtis
78,NOAH BEERY SR.
79,J. Carrol Naish
80,Sam Levene
81,Narrated by Author Jonathan Safran Foer
82,Clara Bow
83,Antonio Moreno
84,William Austin
85,Priscilla Bonner
86,Jacqueline Gadsden
87,Freddie Highmore
88,Ving Rhames
89,Charlotte Gainsbourg
90,Anouk Grinberg
91,Michel Blanc
92,Jean Carmen
93,Annie Girardot
94,JOHN WAYNE
95,Sheil Terry
96,Shirley Jane Rickert
97,Tim McCoy
98,Lois January
99,Sissy Spaceck
100,Anne Bancroft
101,Ed Berke
102,Carol Robbins
103,Jennifer Roosendahl
104,Drea De Matteo
105,Lillo Brancato
106,Lisa Valens
107,Ice T
108,Victor Argo
109,Brad Garrett
110,Joely Fisher
111,Eddie Kaye Thomas
112,Kat Foster
113,Jean Tripplehorn
114,Dean McDermott
115,John Plumpis
116,Janel Maloney
117,Yvonne Zima
118,*NSYNC
119,Canagela Robertson
120,M.M.
121,PETER CUSHING
122,Herbert L.
123,Patrick Magee
124,Stephanie Beacham
125,Ian Ogilvy
126,Jack Webb
127,William Conrad
128,David Nelson
129,Pete Huttlinger
130,Binder
131,Roy Book
132,Petteway
133,Al
134,John
135,Dr
136,Happy Traum
137,Traum
138,Artie
139,Phillipes
140,Todd
141,Bulla
142,Jenny Anne
143,Luke
144,Kaufman
145,STEVEN
146,Happy
147,Holt
148,DaVid
149,Marcy Marxer
150,Artie Traum
151,Norton Buffalo
152,Dick Powell
153,Carli
154,BOB
155,Gaye Adegbalola
156,Kosek
