director_id,director_name
1,dick russell
2,phillip montgomery
3,richard brooks
4,nigel cole
5,elliott hong
6,#
7,pathfinder home entertainment
8,john pritchard
9,baeble media
10,llc
11,david spaltro
12,jt sanchez
13,dan o'berry
14,eugene kotlyarenko
15,york shackleton
16,blake edwards
17,michael callan
18,peter ford
19,tim story
20,richard fleischer
21,thompson
22,j. lee
23,roland emmerich
24,"bill woods"""
25,john j. lafia
26,the asylum
27,michael david
28,griestom
29,bennett-marine
30,alex harvey
31,stephen herek
32,shannon ratigan
33,kevin lima
34,jack bremen
35,evan jackson leong
36,aram avakian
37,bob gebert
38,darrell lynn bousman
39,esther peres
40,greg marcks
41,nikita mikhalkov
42,michael cuesta
43,keith merrill
44,arlene sanford
45,renny harlin
46,danny boyle
47,gÃÂ£ÃÂ©la babluani
48,takashi hirajÃÂ£ÃÂ´
49,takashi hirashiro
50,minami ichikawa
51,hiroaki kitano
52,toshiki komatsu
53,tomoko machida
54,shigeji maeda
55,tatsuya mukai
56,toshiaki nakazawa
57,jill sprecher
58,brian lupo
59,gary winick
60,dav kaufman
61,yehdego abeselom
62,andy warhol
63,david decoteau
64,mikael hÃÂ£ÃÂ¥fstrÃÂ£ÃÂ¶m
65,du haibin
66,darryl knickrehm
67,allison kagan
68,richard donner
69,mohammad a. hajher
70,becky smith
71,peter deluise
72,adam lipsius
73,burr steers
74,peter funt
75,paul flaherty
76,james lew
77,ji-eun kim
78,chris malloy
79,kevin reynolds
80,bruce koehler
81,sean overbeeke
82,stephen spielberg
83,vidhu vinod chopra
84,joel gilbert
85,ricardo trogi
86,enzo castellari
87,rod holcomb
88,rachel lee goldenberg
89,julie delpy
90,john singleton
91,eduardo soto-falcon
92,christopher douglas-olen ray
93,lionel spilkin
94,nathan juran
95,stuart paton
96,richard lemay
97,cole mccay
98,douglas morse
99,jim sullivan
100,stanley kubrick
101,nbc
102,carl macek
103,tom typinski
104,trey stokes
105,peter hyams
106,image entertainment
107,keith allan
108,jeff deutchman
109,jason martell
110,zs
111,al may
112,shaahin cheyene
113,nick lyon
114,david morris
115,milan konjevic
116,deborah l killion
117,phil gardiner
118,anthony fankhauser
119,joao g. amorim
120,dinesh d'souza
121,chandler tuttle
122,george blumetti
123,robert luketic
124,alejandro gonzalez iÃÂ±arritu
125,william a graham
126,kim manners
127,phil lord
128,sinister cinema
129,jon caesar
130,alexander finbow
131,peter bezencenet
132,istvÃÂ£ÃÂ¡n szabÃÂ£ÃÂ³
133,melody league
134,ken klein
135,juan pablo rebella
136,steve moss
137,yolanda cruz
138,spike lee
139,anne fletcher
140,betsy thomas
141,matt ross
142,juan carlos fresnadillo
143,leonardo ricagni
144,charles adelman
145,phillip guzman
146,john suits
147,james hobson
148,aditya assarat
149,rajkumar hirani
150,mo abersheid
151,michael perl
152,thom fitzgerald
153,wolfe video
154,simon s. sheen
155,matuma ida
156,anthony g. summer
157,nagesh kukunoor
158,ricardo ferrer
159,robert allman
160,jordan roberts
161,alexis lloyd
162,ben ketai
163,gabriela tagliavini
164,ken rodgers
165,rustin thompson
166,ruben fleischer
167,don scardino
168,michael tuchner
169,zack snyder
170,matt jaissle
171,demian lichtenstein
172,russ par
173,abbas alibhai|
174,george seaton
175,fernando meirelles
176,george c. marshall
177,olivier marchal
178,daves
179,delmer
180,james mangold
181,tim slad
182,antony cordier
183,cristian mungiu
184,paolo monico
185,w.d. hogan
186,milton katselas
187,eric fellner
188,michael lachmann
189,whitney
190,william
191,kris koenig
192,tom breedlove
193,lee abbott
194,lloyd bacon
195,malcolm venille
196,archie archambo
197,walter hill
198,abel ferrara
199,irvin s. yeaworth jr.
200,jason stephenson
201,paul kell
202,berndt mader
203,peter segal
204,vincent-louis apruzzese
205,jonathan klein
206,angie gorr
207,owen alik shahadah
208,doug block
209,barbara schroeder
210,ernie barbarash
211,j. tomahawk sanchez
212,shirley frimpong manso
213,kang ro yoon
214,blayne weaver
215,walter graman
216,robert duncan mcneill
217,sridhar rangayan
218,j. armando moncayo
219,tom mcgillis
220,marshall mills
221,michael harrigan
222,george pal
223,nick quested
224,allen kellogg
225,simon fellows
226,lewis
227,joseph h.
228,federico fellini
229,curt hanson
230,tom doganoglu
231,johan g avildsen
232,pavol barabÃÂ£ÃÂ¡ÃÂ¥ÃÂ¡
233,donald wrye
234,jones
235,david hughes
236,jon avnet
237,reed cowan
238,jennifer gargano
239,j.s. cardone
240,franklin guerrero
241,shane acker
242,adrian lyne
243,liz friend
244,colin higgins
245,t. michael conway
246,doug dearth
247,eric byler
248,robert englund
249,anthony falcon
250,wg allen
251,jeff phillips
252,chris faulisi
253,marcus dreeke
254,nina brownfield-berry
255,michael haneke
256,christopher scott cherot
257,michael mann
258,david heavener
259,karen russell
260,scott bunt
261,joshua sinclair
262,michael lembeck
263,huw bowen
264,brian crano
265,christian duguay
266,alejandro chomski
267,jonathan sobol
268,andre perkowski
269,chris weitz
270,fielder cook
271,margaret hinton
272,stephen fry
273,andrea weiss
274,andrew k. stone
275,maxim media international
276,michael curtiz
277,richard attenborough
278,marc erlbaum
279,philippe garrel
280,joe zerull
281,damjan kozole
282,paula morgan
283,derek klein
284,bill melendez
285,jason t swinchock
286,john walter thomas
287,hans-toni aschwanden
288,arthur a. seidelman
289,clive donner
290,ric machin
291,sheldon larry
292,tracy j trost
293,bob clark
294,arnaud desplechin
295,paco plaza
296,stephen wallis
297,michael  feifer
298,craid clyde
299,irving pachel
300,mark rosman
301,damon santostefano
302,jim hoskinson
303,christopher forbes
304,brad turner
305,giovanni vaz del bello
306,craig bodeker
307,john m. smith
308,konrad aderer
309,anthony asquith
310,winston hibbler
311,basil gelpke
312,lewis gilbert.
